id,name,image_url,price,saleprice,url,category,type
16455134-3,YouBella Jewellery Combo Of Five Trendy Traditional Bangles Set For Women and Girls,http://ecx.images-amazon.com/images/I/513p5EE5zwL._SX425_.jpg,1999,425,http://www.amazon.in/dp/B01MSR9VOW/ref=asc_df_B01MSR9VOW38843129/?tag=indiashopps-21&creative=165953&creativeASIN=B01MSR9VOW&linkCode=df0,Bangles  ,popular
5705073-4,Catwalk Women Silver-Toned Sandals,"http://assets.myntassets.com/,q_95,w_480/v1/assets/images/1607733/2016/11/2/11478066723879-Catwalk-Women-Heels-491478066723746-2.jpg",1995,997,https://www.myntra.com/heels/catwalk/catwalk-women-silver-toned-sandals/1607733/buy?utm_source=cuelinks&utm_medium=affiliate,Casual Shoes & Sneakers,popular
7851059-3,Zeneme Temple Coin Necklace and Temple Coin Gold Plated Bangles combo,https://images-eu.ssl-images-amazon.com/images/I/51KSPKzWW8L._SL160_.jpg,3999,499,http://www.amazon.in/dp/B01BMTBUJC/ref=asc_df_B01BMTBUJC38843129/?tag=indiashopps-21&creative=165953&creativeASIN=B01BMTBUJC&linkCode=df0,Chains & Necklaces,popular
16352430-3,Sukkhi Gorgeous Peacock Gold Plated Set of 3 Necklace Set Combo For Women,https://images-eu.ssl-images-amazon.com/images/I/51MkMSst6JL._SL160_.jpg,5594,839,http://www.amazon.in/dp/B01LB3PLU8/ref=asc_df_B01LB3PLU838843129/?tag=indiashopps-21&creative=165953&creativeASIN=B01LB3PLU8&linkCode=df0,Chains & Necklaces,popular
10246462-3,"Mothers Day Gifts, Giftsmate Best Mom Ever Canvas Wall Clock for Mom, Living room (12 X 12)",https://images-eu.ssl-images-amazon.com/images/I/415rT2zwykL._SL160_.jpg,1699,1099,http://www.amazon.in/dp/B00VUP96CC/ref=asc_df_B00VUP96CC41294577/?tag=indiashopps-21&creative=165953&creativeASIN=B00VUP96CC&linkCode=df0,Clocks  ,popular
15942939-3,"Giftsmate You Are My Sunshine MDF Round Wall Clock for Home, Diameter - 10 inches",https://images-eu.ssl-images-amazon.com/images/I/51NizX0GrbL._SL160_.jpg,1849,1299,http://www.amazon.in/dp/B00VUPBKGW/ref=asc_df_B00VUPBKGW38842713/?tag=indiashopps-21&creative=165953&creativeASIN=B00VUPBKGW&linkCode=df0,Clocks  ,popular
64441-3,"Maybelline New York Nudes, the Nudes Palette 9gm",https://images-eu.ssl-images-amazon.com/images/I/41GQc0WA4mL._SL160_.jpg,899,674,http://www.amazon.in/dp/B00L0R5494/ref=asc_df_B00L0R549441293952/?tag=indiashopps-21&creative=165953&creativeASIN=B00L0R5494&linkCode=df0,Cosmetics & Makeup,popular
22841450-1,Giftsmate Greatest Mom Ceramic Mug,http://img5a.flixcart.com/image/mug/t/h/e/1-giftsmate-greatest-mom-400x400-imaehm4abzjfhjug.jpeg,499,249,https://www.flipkart.com/giftsmate-greatest-mom-ceramic-mug/p/itmefscgpxhej2kf?pid=MUGEFSCGVSXC3THE&affid=affiliate7&affExtParam1=site,Dining & Serving,popular
22841447-1,Giftsmate Awesome Mom Ceramic Mug,http://img6a.flixcart.com/image/mug/x/g/f/1-giftsmate-awesome-mom-400x400-imaefsyzauzghyk4.jpeg,499,199,https://www.flipkart.com/giftsmate-awesome-mom-ceramic-mug/p/itmefscgck3f3kgw?pid=MUGEFSCGHY93WXGF&affid=affiliate7&affExtParam1=site,Dining & Serving,popular
9714531-3,W for Woman Dupatta (16FE80617-91603_White),http://ecx.images-amazon.com/images/I/41G4lCY3XOL._SX425_.jpg,899,899,http://www.amazon.in/dp/B01A5SVBAE/ref=asc_df_B01A5SVBAE41295095/?tag=indiashopps-21&creative=165953&creativeASIN=B01A5SVBAE&linkCode=df0,Dupattas & Shawls,popular
1812655-3,Mahi Gold-Plated Stud Earings For Women ( GoldER1109175G),https://images-eu.ssl-images-amazon.com/images/I/51qxRtEdDDL._SL160_.jpg,499,299,http://www.amazon.in/dp/B00LNA3ME2/ref=asc_df_B00LNA3ME238843129/?tag=indiashopps-21&creative=165953&creativeASIN=B00LNA3ME2&linkCode=df0,Earring,popular
32998-3,"Lakme Absolute Kohl Ultimate Kajal, 1.2g",https://images-eu.ssl-images-amazon.com/images/I/31MIa7dffuL._SL160_.jpg,725,543,http://www.amazon.in/dp/B006LXBTFK/ref=asc_df_B006LXBTFK41293952/?tag=indiashopps-21&creative=165953&creativeASIN=B006LXBTFK&linkCode=df0,Eye Care,popular
30987-3,"Lakme Absolute Skin Natural Mousse, Ivory Fair 01, 25 g",https://images-eu.ssl-images-amazon.com/images/I/41VfEIZ8BsL._SL160_.jpg,750,611,http://www.amazon.in/dp/B00791F1I4/ref=asc_df_B00791F1I441293952/?tag=indiashopps-21&creative=165953&creativeASIN=B00791F1I4&linkCode=df0,Face Care,popular
23116-3,"Maybelline New York Fit Me Concealer, 25 Medium, 6.8ml",https://images-eu.ssl-images-amazon.com/images/I/314pvsRBtvL._SL160_.jpg,500,500,http://www.amazon.in/dp/B0046VGJJA/ref=asc_df_B0046VGJJA38842731/?tag=indiashopps-21&creative=165953&creativeASIN=B0046VGJJA&linkCode=df0,Face Care,popular
46380-3,"Olay Total Effects 7-in-1 Anti-Ageing BB Day Cream with a Touch Of Foundation SPF15, 50g",https://images-eu.ssl-images-amazon.com/images/I/51ZQ3Cs5vaL._SL160_.jpg,799,549,http://www.amazon.in/dp/B00ENZT7PM/ref=asc_df_B00ENZT7PM41293952/?tag=indiashopps-21&creative=165953&creativeASIN=B00ENZT7PM&linkCode=df0,Face Care,popular
77416-3,"Maybelline Dream Satin Skin Foundation B4 Nude Beige, 30ml",https://images-eu.ssl-images-amazon.com/images/I/31BYgOM7ibL._SL160_.jpg,700,508,http://www.amazon.in/dp/B00W4ZCMGE/ref=asc_df_B00W4ZCMGE41293952/?tag=indiashopps-21&creative=165953&creativeASIN=B00W4ZCMGE&linkCode=df0,Face Care,popular
7415758-3,"Maybelline New York Fit Me Matte Poreless Powder, Classic Ivory 120, 8.5g",https://images-eu.ssl-images-amazon.com/images/I/41lCiBQSPLL._SL160_.jpg,475,474,http://www.amazon.in/dp/B00PFCSO1U/ref=asc_df_B00PFCSO1U41293952/?tag=indiashopps-21&creative=165953&creativeASIN=B00PFCSO1U&linkCode=df0,Face Care,popular
8466711-3,Gift for Mother's Day Gift for Mom Gift for Mother Gift for Women Gift for Mother on her Birthday Gift for Mother Miniature Temple With Ganesh Idol and 1 Greeting Card By TIEDRIBBONS,https://images-eu.ssl-images-amazon.com/images/I/41I5sMB3aRL._SL160_.jpg,1199,599,http://www.amazon.in/dp/B01E5NG9OI/ref=asc_df_B01E5NG9OI41294577/?tag=indiashopps-21&creative=165953&creativeASIN=B01E5NG9OI&linkCode=df0,Flowers & Vases,flower
32164460-1,Kaykon Yellow Wild Flower Artificial Flower,http://img6a.flixcart.com/image/artificial-flower/4/y/u/oct-83-kaykon-400x400-imaec97hbx4xdyhv.jpeg,499,449,https://www.flipkart.com/kaykon-yellow-wild-flower-artificial/p/itmec9y4dfc5yhz2?pid=ARFEC9Y4JNGCP4YU&affid=affiliate7&affExtParam1=site,Flowers & Vases,flower
